BUS UID,Fuel,GEN UID,Plant Code,Unit Type,CO2 Emissions Lbs/MWh
150476_1,NG (Natural Gas),55139_NaturalGasFiredCombinedCycle_ST,55139,Natural Gas Fired Combined Cycle,895.2716193969870
190152_1,WND (Wind),58775_OnshoreWindTurbine_GEN1,58775,Onshore Wind Turbine,0.0
111339_1,NG (Natural Gas),55357_NaturalGasFiredCombinedCycle_STG1,55357,Natural Gas Fired Combined Cycle,870.7429128480550
120472_1,NG (Natural Gas),7512_NaturalGasFiredCombinedCycle_3,7512,Natural Gas Fired Combined Cycle,830.9255482066470
160281_1,WND (Wind),57927_OnshoreWindTurbine_1,57927,Onshore Wind Turbine,0.0
240259_1,WND (Wind),56763_OnshoreWindTurbine_3,56763,Onshore Wind Turbine,0.0
111326_1,NG (Natural Gas),55299_NaturalGasFiredCombinedCycle_CTG2,55299,Natural Gas Fired Combined Cycle,1140.8149814586700
111325_1,NG (Natural Gas),55299_NaturalGasFiredCombinedCycle_CTG1,55299,Natural Gas Fired Combined Cycle,1140.8149814586700
150552_1,WND (Wind),62356_OnshoreWindTurbine_LOC,62356,Onshore Wind Turbine,0.0
111327_1,NG (Natural Gas),55299_NaturalGasFiredCombinedCycle_CTG3,55299,Natural Gas Fired Combined Cycle,1140.8149814586700
220245_1,SUN (Solar),61368_SolarPhotovoltaic_PV1,61368,Solar Photovoltaic,0.0
190136_1,WND (Wind),58720_OnshoreWindTurbine_1,58720,Onshore Wind Turbine,0.0
111391_1,NG (Natural Gas),60122_NaturalGasFiredCombinedCycle_CT7,60122,Natural Gas Fired Combined Cycle,800.2011277886590
120445_1,NG (Natural Gas),3612_NaturalGasSteamTurbine_2,3612,Natural Gas Steam Turbine,1336.7747387067100
210327_1,NG (Natural Gas),55172_NaturalGasFiredCombinedCycle_ST-5,55172,Natural Gas Fired Combined Cycle,820.7693901397300
140335_1,NG (Natural Gas),4937_NaturalGasFiredCombinedCycle_STG,4937,Natural Gas Fired Combined Cycle,790.5038820774780
160273_1,WND (Wind),56983_OnshoreWindTurbine_1,56983,Onshore Wind Turbine,0.0
190120_1,WND (Wind),56956_OnshoreWindTurbine_1,56956,Onshore Wind Turbine,0.0
220225_2,SUN (Solar),60123_SolarPhotovoltaic_CGAP,60123,Solar Photovoltaic,0.0
250367_1,NG (Natural Gas),55226_NaturalGasFiredCombinedCycle_ST3,55226,Natural Gas Fired Combined Cycle,838.4967365938270
